label,sentence,label_id
positive,The company has committed to further expanding the Apollo portfolio .,0
positive,"At the end of the review period , Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 .",0
neutral,We have made long-term investments in developing the system 's implementation model .,2
positive,Validating our fgVoIP client through Symbian Signed represents a significant step forward in accomplishing this goal .,0
neutral,"Tip of the week Panfish like bluegills are great fun to catch , especially for children new to fishing .",2
negative,Metso estimates the need for personnel reductions to amount to 25 people .,1
negative,"Finnish Food Workers ' Union SEL plans to hasten its collective bargaining with a two-day strike that would begin on 7 April 2010 , in Finland .",1
positive,The StoneGate UTM solution offers protection against inbound and outbound attacks .,0
neutral,"TeliaSonera s subsidiary , the mobile operator EMT in Estonia , has created a world s first mobile identification service which makes it possible to vote via a mobile phone .",2
neutral,"Via the plant , the Belgian company will feed 8.4 MW of electricity into the distribution grid and will be able to deliver up to 14 MW of heat .",2
negative,"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",1
positive,Brazilian mobile player Telemig Celular yesterday announced that it has selected Finnish software developer Tecnomen Oyj to expand its prepaid billing system .,0
negative,"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",1
negative,The first ship has been delayed and is estimated to be completed in spring 2010 .,1
neutral,RSA 's shares closed at 156.9 p at the time of going to press .,2
neutral,The most significant challengers in the market are Logset and Sampo-Rosenlew .,2
positive,"The EBITDA was EUR116m compared to EUR115m , corresponding to an EBITDA margin of 33 % .",0
neutral,The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,2
positive,The training modules aim at strengthening the public accounting abilities and fulfilling communal project management .,0
neutral,"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",2
neutral,RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system .,2
positive,YIT Construction and the town of Riihim+Æki have signed a lease contract whereby the town will occupy the Travel Centre office facilities .,0
neutral,Mobile data transfer is expected to increase explosively in the LTE era .,2
neutral,Delivery is due in the second half of 2011 .,2
positive,The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,0
negative,"The Estonian electronic components factory , Elcoteq , is running out of material because of the closure of air traffic .",1
neutral,The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .,2
neutral,Another firm Air Liquide was exempted because it left the market in 1998 .,2
neutral,"Tiimari 's registered share capital is 16,474,755 shares as per today .",2
neutral,"With Aldata , we can help retailers ensure that their merchandising and selections reflect customer demand and their evolving shopping behavior . ''",2
negative,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",1
neutral,"SRV will also build an aqua park with wellness area , a restaurant and a multifunctional ice arena .",2
neutral,"Of this , EUR 38.8 mn was net interest income .",2
positive,"According to HKScan Finland , the plan is to increase J+Ærvi-Suomen Portti 's net sales to EUR 80mn to EUR 100mn .",0
neutral,"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",2
positive,"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",0
neutral,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur , near Bangalore , for Rs40 crore .",2
neutral,"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",2
neutral,"RK Group , headquartered in Vantaa , Finland , is one of Europe 's leading machinery rental services .",2
neutral,This beauty is an updated version of her chichi loop shade launched in 2001 .,2
negative,Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,1
neutral,It said Comptel delivers reliable provisioning and activation solutions which improve fulfilment processes for operators .,2
neutral,"Olvi 's target is to strengthen its market share in soft drinks , mineral waters , ciders , long drinks , and energy drinks .",2
positive,"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",0
negative,Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,1
neutral,The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .,2
positive,Sony Ericsson and Nokia dominated the list of best-selling handsets with five models each .,0
negative,"However , the suspect stole his burgundy Nissan Altima .",1
neutral,The amendment will not incur additional costs .,2
neutral,"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 .",2
neutral,"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .",2
neutral,"Under the rental agreement , Stockmann was committed to invest in the building of a bridge over the Gogol Street or build an underground tunnel for crossing the street by 2004 .",2
neutral,"- The Group - s sales during the period were EUR 31.6 million EUR 36.6 million , 1-6/2007 and profit before taxes was EUR 0.2 1.3 million .",2
neutral,We are also pleased to welcome the new employees to Tieto . ',2
negative,"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",1
neutral,"The most popular mobile data services are email , surfing the internet , as well as news and weather services .",2
positive,"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",0
positive,"Ragutis , which is controlled by the Finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",0
negative,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",1
positive,Finnair was able to operate most of its leisure flights despite the strike .,0
neutral,"A total of 15,000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A-B-C options based on the company 's stock option plan 1999 .",2
neutral,"Cablevision Systems Corp. CVC Their Madison Square Garden division owns and operates the New York Knickerbockers basketball team ; they also own the Madison Square Garden Arena , the New York Rangers hockey team , the New York Liberty women 's basketball team , and the Hartford Wolf Pack hockey team .",2
neutral,"The repo rate will gradually reach 2 % at the end of 2010 , according to Nordea 's Economic Outlook .",2
negative,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",1
neutral,"cents Scout for potential acquisition targets , with detailed insight into the companies financial and operational performance .",2
negative,"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",1
positive,Operating profit rose to EUR 1.6 mn from EUR 1.1 mn in the corresponding period in 2006 .,0
neutral,"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",2
neutral,Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .,2
neutral,"The Finnish investment company Sponda is conducting negotiations to acquire the business center Dukat Palace-2 located in the center of Moscow , from London & Regional Properties .",2
positive,"MD Henning Bahr of Stockmann Gruppen praises the trend , since the chains become stronger and their decision-making processes more clear .",0
positive,"is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",0
positive,"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",0
neutral,This corrensponds to 4.628 percent of Okmetic 's share capital and voting rights .,2
positive,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",0
neutral,"rosendal at outotec.com Eila Paatela , Vice President - Corporate Communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",2
neutral,"A total of 131000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between May 1 , 2010 and June 30 , 2010 under the company 's stock option rights 2007A .",2
negative,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,1
negative,The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .,1
positive,Previously the company has estimated its operating profit to reach the level of 2005 only .,0
neutral,"Aspocomp said it will spin off its Chinese and Indian units , and some equipment from its Salo plant in Finland , into a newly-formed unit , most of which it will then sell on to Hong Kong-listed Meadville .",2
neutral,"The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda , forming part of the line that follows the coast of the Gulf of Bothnia .",2
positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,0
positive,"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.2 percent from 23.91 percent , as beer sales for the nine months jumped by 11.4 percent to 52.99 million liters .",0
neutral,Nordea was the cheapest also for a couple in their 30s with debt .,2
positive,The world 's biggest magazine paper maker said the program to improve efficiency will include closing several of its least competitive mills and would cover all the company 's operations resulting in annual savings of some euro200 million US$ 240 million .,0
neutral,"Anttila 's online department store - NetAnttila - has an established position as the best-known , most visited and most shopped online store in Finland .",2
negative,"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",1
positive,"Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd. .",0
neutral,"The study is expected to provide proof of pharmacodynamic activity in humans , corroborate the safety profile and establish dose ranges for further therapeutic studies .",2
positive,"In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .",0
neutral,"RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience .",2
positive,The cooperation will double The Switch 's converter capacity .,0
positive,Operating profit rose to EUR 9.2 mn from EUR 6.8 mn in the corresponding period in 2007 .,0
neutral,Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,2
positive,About Nokia Nokia is a pioneer in mobile telecommunications and the world 's leading maker of mobile devices .,0
neutral,Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i .,2
positive,"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .",0
neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",2
positive,"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",0
neutral,"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",2
neutral,Dutch publisher De Vijver said today it has agreed to buy a 49 % stake in Belgian weekly magazine Humo from Finnish media company Sanoma HEL : SAA1V .,2
positive,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,0
positive,"However , he expects banks to provide alternative financing .",0
neutral,Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,2
negative,Finnish industrial group Ruukki Group has brought counter action against Finnish metal company Rautaruukki in the dispute concerning the names of the companies .,1
neutral,"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries .",2
negative,A high court in Finland has fined seven local asphalt companies more than lion ( $ 117 million ) for operating a cartel .,1
positive,"Fiskars Brands report net sales of EUR 145.8 mn , up from EUR 138.4 mn .",0
neutral,"The Polish business employs about 1,000 people , and it had net sales of about EUR 70mn in 2007 .",2
positive,Sports equipment sales also progressed well owing to the prolonged winter season .,0
neutral,The new chain has 700 discount stores and 250 supermarkets .,2
neutral,Following the increase the company+EUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,2
neutral,"The utility will also provide services related to electricity management , such as hedging trades and risk management and reporting .",2
neutral,The newspapers of Alma Media and Arena Partners will enter a cooperation agreement on using Alma 's marketplace services in their respective regions .,2
positive,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",0
neutral,Finnish food industry companies are interested in the opportunities provided by Ukraine .,2
neutral,"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",2
neutral,Net sales in 2008 are expected to be on the same level as in 2007 .,2
neutral,Aspo 's Group structure and business operations are continually developed without any predefined schedules .,2
positive,"HELSINKI AFX - KCI Konecranes said it has raised its stake in MMH Holdings Inc , the owner of US-based Morris Materials Handling , to 90.9 pct from 74.5 pct .",0
neutral,Net loss in the same period in 2009 was euro18 .6 million .,2
positive,The value of the firm 's forestry holdings increased by SEK 3.6 bn .,0
neutral,Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .,2
